iter	Passed	Remaining
0	0	734
1	2	1157
2	9	3079
3	9	2472
4	10	2123
5	11	1929
6	12	1737
7	13	1615
8	13	1507
9	14	1404
10	14	1338
11	15	1259
12	15	1206
13	16	1172
14	17	1154
15	18	1127
16	19	1104
17	19	1081
18	20	1062
19	21	1049
20	22	1039
21	22	1011
22	23	988
23	23	967
24	24	947
25	24	926
26	25	913
27	25	897
28	26	887
29	26	871
30	27	863
31	28	851
32	28	837
33	29	849
34	30	847
35	34	912
36	34	898
37	35	891
38	35	880
39	36	874
40	36	864
41	37	855
42	38	852
43	38	846
44	39	839
45	40	833
46	40	828
47	41	823
48	42	816
49	42	810
50	43	806
51	43	800
52	44	792
53	44	783
54	45	781
55	46	777
56	46	774
57	47	770
58	48	766
59	48	764
60	49	758
61	49	755
62	50	753
63	51	750
64	51	745
65	52	742
66	53	740
67	53	734
68	53	728
69	54	730
70	55	729
71	56	730
72	57	730
73	58	730
74	59	729
75	59	728
76	60	729
77	61	727
78	62	725
79	62	723
80	63	719
81	64	717
82	64	716
83	65	711
84	65	707
85	66	706
86	67	705
87	67	703
88	68	702
89	69	701
90	69	698
91	70	693
92	70	692
93	71	692
94	72	691
95	73	690
96	73	686
97	74	686
98	75	690
99	76	689
100	77	688
101	78	688
102	78	687
103	79	686
104	80	685
105	81	685
106	81	682
107	82	681
108	83	680
109	84	679
110	84	677
111	87	692
112	88	692
113	89	693
114	90	695
115	91	698
116	93	703
117	94	702
118	94	701
119	95	699
120	96	697
121	97	698
122	98	704
123	99	703
124	101	711
125	103	716
126	104	717
127	105	720
128	107	726
129	108	725
130	109	723
131	110	724
132	112	730
133	112	728
134	113	725
135	113	723
136	114	720
137	115	719
138	116	721
139	117	723
140	118	722
141	119	722
142	120	721
143	121	719
144	121	719
145	122	718
146	123	717
147	124	717
148	126	724
149	127	724
150	132	747
151	133	745
152	134	743
153	135	746
154	137	752
155	139	754
156	142	765
157	145	777
158	146	776
159	148	777
160	149	777
161	149	775
162	150	775
163	151	773
164	152	772
165	153	773
166	155	775
167	157	781
168	158	780
169	159	778
170	160	776
171	160	774
172	161	772
173	162	771
174	169	797
175	175	821
176	176	819
177	177	818
