,Cabin,People
0,A-5,"Goldschmidt, Mr George B."
1,A-6 or A-8 (?),"Beattie, Mr Thomson McCaffry, Mr Thomas Francis"
2,A-7,"Smith, Mr James Clinch"
3,A-9,"Chevré, Mr Paul Romaine"
4,A-10,"Ross, Mr John Hugo"
5,A-11 (?),"Rosenbaum (Russell), Miss Edith Louise"
6,A-12 (?),"Sloper, Mr William Thompson"
7,A-16,"Duff Gordon, Sir Cosmo Edmund"
8,A-18,"Dulles, Mr William Crothers"
9,A-19,"Smith, Mr Richard William"
10,A-20,"Duff Gordon, Lady"
11,A-21,"Brady, Mr John Bertram"
12,A-23,"Barkworth, Mr Algernon H. Wilson"
13,A-24,"Roebling, Mr Washington Augustus II"
14,A-26,"Simonius-Blumer, Colonel Alfons"
15,A-29,"Evans, Miss Edith Corse"
16,A-31,"Blank, Mr Henry"
17,A-32,"Rood, Mr Hugh R."
18,A-34," Dodge, Dr. Washington Dodge, Mrs Washington (Ruth Vidaver) Dodge, Master Washington "
19,A-36,"Andrews, Mr Thomas, jr"
20,A-37,"Browne, Fr. Francis M., SJ - [Cross Channel Passenger]"
21,B Deck,"101 numbered cabins, 2 of which are sitting rooms. Therefore it has 99 bedrooms with accomodation for 183 passengers."
22,B-3,"Robert, Mrs Edward Scott "
23,"B-2, 4 or 6 [?]","Brown, Mrs James Joseph (Margaret Tobin)"
24,B-5,"Allen, Miss Elisabeth Walton Madill, Miss Georgette Alexandra"
25,B-10,"Brandeis, Mr Emil"
26,B-11,"Head, Mr Christopher"
27,B-18,"Hippach, Mrs Louis Albert Hippach, Miss Jean Gertrude"
28,B-19,"Van der hoef, Mr Wyckoff"
29,B-20,"Dick, Mr Albert Adrian Dick, Mrs Albert Adrian"
30,B-22,"Crosby, Captain Edward Gifford Crosby, Mrs Edward Gifford"
31,B-24,"Payne, Mr Vivian Ponsonby [assistant to Mr Hays]"
32,B-26,"Crosby, Miss Harriet R."
33,B-28,"Stone, Mrs George Nelson  Icard, Miss Amelie (""Amelia _"") [maid to Mrs Stone]"
34,B-30,"Østby, Mr Engelhart Cornelius"
35,B-31 or 33 (?),"Stewart, Mr Albert A."
36,B-35,"Aubart, Mme. Leontine Pauline Sägesser, Mlle. Emma [maid to Mme. Aubert]"
37,B-36,"Østby, Miss Helene Ragnhild"
38,B-37,"Kent, Mr Edward Austin"
39,B-38,"Butt, Major Archibald Willingham"
40,B-39,"Frölicher, Miss Hedwig Margaritha"
41,B-41,"Frölicher-Stehli, Mr Maximilian Josef Frölicher-Stehli, Mrs Maximilian Josef "
42,B-45,"Snyder, Mr John Pillsbury Snyder, Mrs John Pillsbury"
43,B-49,"Bishop, Mr Dickinson H. Bishop, Mrs Dickinson H. (Helen Walton)"
44,B-50,"Stähelin, Dr Max"
45,B-51-53-55,"Cardeza, Mrs James Warburton Martinez"
46,"Ward, Miss Anna [maid to Mrs Cardeza]",See also B-101
47,"Cardeza, Mr Thomas Drake Martinez",Probably occupied B-55
48,B-52-54-56,"Ismay, Mr Joseph Bruce"
49,B-57-59-61-63 (?),"Ryerson, Mr Arthur Larned Ryerson, Mrs Arthur Larned "
